
index |  label  |  probability  | 0.6	| 0.7	| 0.8	| 0.9	| 0.95
1     |   Spam	| 0.00699246   	| Ham	| Ham	| Ham	| Ham	| Ham
2     |   Spam	| 0.201549     	| Ham	| Ham	| Ham	| Ham	| Ham
3     |   Spam	| 0.00307341   	| Ham	| Ham	| Ham	| Ham	| Ham
4     |   Spam	| 0.000777592  	| Ham	| Ham	| Ham	| Ham	| Ham
5     |   Spam	| 0.04615      	| Ham	| Ham	| Ham	| Ham	| Ham
6     |   Spam	| 6.19561e-21  	| Ham	| Ham	| Ham	| Ham	| Ham
7     |   Spam	| 0.00134788   	| Ham	| Ham	| Ham	| Ham	| Ham
8     |   Spam	| 0.000113247  	| Ham	| Ham	| Ham	| Ham	| Ham
9     |   Spam	| 0.0158295    	| Ham	| Ham	| Ham	| Ham	| Ham
10    |   Spam	| 0.0207428    	| Ham	| Ham	| Ham	| Ham	| Ham
11    |   Spam	| 0.0354364    	| Ham	| Ham	| Ham	| Ham	| Ham
12    |   Spam	| 6.69255e-08  	| Ham	| Ham	| Ham	| Ham	| Ham
13    |   Spam	| 0.00307341   	| Ham	| Ham	| Ham	| Ham	| Ham
14    |   Spam	| 8.59933e-05  	| Ham	| Ham	| Ham	| Ham	| Ham
15    |   Spam	| 0.5          	| Ham	| Ham	| Ham	| Ham	| Ham
16    |   Spam	| 7.21668e-06  	| Ham	| Ham	| Ham	| Ham	| Ham
17    |   Spam	| 0.00134788   	| Ham	| Ham	| Ham	| Ham	| Ham
18    |   Spam	| 0.00699246   	| Ham	| Ham	| Ham	| Ham	| Ham
19    |   Spam	| 6.20644e-10  	| Ham	| Ham	| Ham	| Ham	| Ham
20    |   Spam	| 0.000196398  	| Ham	| Ham	| Ham	| Ham	| Ham

index |  label  |  probability  | 0.6	| 0.7	| 0.8	| 0.9	| 0.95
1     |   Ham	| 0.160843     	| Ham	| Ham	| Ham	| Ham	| Ham
2     |   Ham	| 0.0354364    	| Ham	| Ham	| Ham	| Ham	| Ham
3     |   Ham	| 0.0354364    	| Ham	| Ham	| Ham	| Ham	| Ham
4     |   Ham	| 5.4798e-06   	| Ham	| Ham	| Ham	| Ham	| Ham
5     |   Ham	| 0.365712     	| Ham	| Ham	| Ham	| Ham	| Ham
6     |   Ham	| 0.365712     	| Ham	| Ham	| Ham	| Ham	| Ham
7     |   Ham	| 3.15951e-06  	| Ham	| Ham	| Ham	| Ham	| Ham
8     |   Ham	| 0.0774183    	| Ham	| Ham	| Ham	| Ham	| Ham
9     |   Ham	| 0.099515     	| Ham	| Ham	| Ham	| Ham	| Ham
10    |   Ham	| 1.41763e-09  	| Ham	| Ham	| Ham	| Ham	| Ham
11    |   Ham	| 0.201549     	| Ham	| Ham	| Ham	| Ham	| Ham
12    |   Ham	| 0.0774183    	| Ham	| Ham	| Ham	| Ham	| Ham
13    |   Ham	| 4.35514e-34  	| Ham	| Ham	| Ham	| Ham	| Ham
14    |   Ham	| 0.365712     	| Ham	| Ham	| Ham	| Ham	| Ham
15    |   Ham	| 0.00918845   	| Ham	| Ham	| Ham	| Ham	| Ham
16    |   Ham	| 0.12705      	| Ham	| Ham	| Ham	| Ham	| Ham
17    |   Ham	| 0.00134788   	| Ham	| Ham	| Ham	| Ham	| Ham
18    |   Ham	| 0.365712     	| Ham	| Ham	| Ham	| Ham	| Ham
19    |   Ham	| 0.000340582  	| Ham	| Ham	| Ham	| Ham	| Ham
20    |   Ham	| 6.52981e-05  	| Ham	| Ham	| Ham	| Ham	| Ham
